date,hour,prediction,real
42324.000,1.000,26.435,22.440
42324.000,2.000,25.622,21.510
42324.000,3.000,25.092,20.900
42324.000,4.000,25.409,21.740
42324.000,5.000,28.746,34.490
42324.000,6.000,33.554,40.900
42324.000,7.000,37.649,36.060
42324.000,8.000,38.184,38.620
42324.000,9.000,37.377,34.420
42324.000,10.000,36.868,35.830
42324.000,11.000,36.110,35.830
42324.000,12.000,34.647,43.240
42324.000,13.000,33.422,35.870
42324.000,14.000,33.482,35.840
42324.000,15.000,33.428,53.070
42324.000,16.000,34.222,51.120
42324.000,17.000,35.601,38.500
42324.000,18.000,34.344,39.950
42324.000,19.000,32.696,30.000
42324.000,20.000,31.296,24.530
42324.000,21.000,30.147,24.230
42324.000,22.000,29.208,22.710
42324.000,23.000,28.086,21.320
42325.000,0.000,24.274,21.890
42325.000,1.000,23.575,21.520
42325.000,2.000,23.919,21.400
42325.000,3.000,24.427,21.370
42325.000,4.000,25.794,22.500
42325.000,5.000,29.732,30.720
42325.000,6.000,34.279,35.350
42325.000,7.000,37.351,35.550
42325.000,8.000,37.584,36.420
42325.000,9.000,36.972,29.900
42325.000,10.000,36.241,35.810
42325.000,11.000,35.211,35.820
42325.000,12.000,34.198,35.370
42325.000,13.000,33.757,35.820
42325.000,14.000,33.424,35.530
42325.000,15.000,33.165,40.970
42325.000,16.000,34.160,52.180
42325.000,17.000,35.708,43.680
42325.000,18.000,34.810,40.990
42325.000,19.000,33.020,34.410
42325.000,20.000,31.473,24.910
42325.000,21.000,30.688,24.540
42325.000,22.000,29.916,23.490
42325.000,23.000,29.072,21.900
42326.000,0.000,28.434,21.760
42326.000,1.000,27.913,21.380
42326.000,2.000,27.487,21.210
42326.000,3.000,27.245,21.450
42326.000,4.000,27.599,21.970
42326.000,5.000,30.104,29.770
42326.000,6.000,33.630,34.600
42326.000,7.000,38.024,36.030
42326.000,8.000,40.397,35.370
42326.000,9.000,39.970,29.940
42326.000,10.000,38.856,34.800
42326.000,11.000,36.943,34.910
42326.000,12.000,35.561,34.710
42326.000,13.000,35.164,34.480
42326.000,14.000,34.444,36.010
42326.000,15.000,34.046,45.060
42326.000,16.000,35.194,47.670
42326.000,17.000,36.793,43.090
42326.000,18.000,36.387,45.280
42326.000,19.000,34.448,36.090
