Date,Hour
42186,17
42186,18
42186,19
42186,20
42186,21
42186,22
42186,23
42187,0
42187,1
42187,2
42187,3
42187,4
42187,5
42187,6
42187,7
42187,8
42187,9
42187,10
42187,11
42187,12
42187,13
42187,14
42187,15
42187,16
42187,17
42187,18
42187,19
42187,20
42187,21
42187,22
42187,23
42188,0
42188,1
42188,2
42188,3
42188,4
42188,5
42188,6
42188,7
42188,8
42188,9
42188,10
42188,11
42188,12
42188,13
42188,14
42188,15
42188,16
42188,17
42188,18
42188,19
42188,20
42188,21
42188,22
42188,23
42189,0
42189,1
42189,2
42189,3
42189,4
42189,5
42189,6
42189,7
42189,8
42189,9
42189,10
42189,11
42189,12
42189,13
42189,14
42189,15
42189,16
42189,17
42189,18
42189,19
42189,20
42189,21
42189,22
42189,23
42190,0
42190,1
42190,2
42190,3
42190,4
42190,5
42190,6
42190,7
42190,8
42190,9
42190,10
42190,11
42190,12
42190,13
42190,14
42190,15
42190,16
42190,17
42190,18
42190,19
42190,20
42190,21
42190,22
42190,23
42191,0
42191,1
42191,2
42191,3
42191,4
42191,5
42191,6
42191,7
42191,8
42191,9
42191,10
42191,11
42191,12
42191,13
42191,14
42191,15
42191,16
42191,17
42191,18
42191,19
42191,20
42191,21
42191,22
42191,23
42192,0
42192,1
42192,2
42192,3
42192,4
42192,5
42192,6
42192,7
42192,8
42192,9
42192,10
42192,11
42192,12
42192,13
42192,14
42192,15
42192,16
42192,17
42192,18
42192,19
42192,20
42192,21
42192,22
42192,23
42193,0
42193,1
42193,2
42193,3
42193,4
42193,5
42193,6
42193,7
42193,8
42193,9
42193,10
42193,11
42193,12
42193,13
42193,14
42193,15
42193,16
42193,17
42193,18
42193,19
42193,20
42193,21
42193,22
42193,23
42194,0
42194,1
42194,2
42194,3
42194,4
42194,5
42194,6
42194,7
42194,8
42194,9
42194,10
42194,11
42194,12
42194,13
42194,14
42194,15
42194,16
42194,17
42194,18
42194,19
42194,20
42194,21
42194,22
42194,23
42195,0
42195,1
42195,2
42195,3
42195,4
42195,5
42195,6
42195,7
42195,8
42195,9
42195,10
42195,11
42195,12
42195,13
42195,14
42195,15
42195,16
42195,17
42195,18
42195,19
42195,20
42195,21
42195,22
42195,23
42196,0
42196,1
42196,2
42196,3
42196,4
42196,5
42196,6
42196,7
42196,8
42196,9
42196,10
42196,11
42196,12
42196,13
42196,14
42196,15
42196,16
42196,17
42196,18
42196,19
42196,20
42196,21
42196,22
42196,23
42197,0
42197,1
42197,2
42197,3
42197,4
42197,5
42197,6
42197,7
42197,8
42197,9
42197,10
42197,11
42197,12
42197,13
42197,14
42197,15
